Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Wefensleben;Gemeinde;Börde;2.973;2.454;1.924;1.820
Wegeleben;Stadt;Harz;3.483;3.278;2.804;2.591
Weißenfels;Stadt;Burgenlandkreis;47.968;45.387;40.194;40.398
Werben (Elbe);Stadt;Stendal;1.551;1.483;1.217;1.142
Wernigerode;Stadt;Harz;37.385;36.564;33.964;33.108
Westheide;Gemeinde;Börde;1.892;1.932;1.749;1.723
Wethau;Gemeinde;Burgenlandkreis;1.107;1.097;1.009;994
Wetterzeube;Gemeinde;Burgenlandkreis;2.114;2.121;1.883;1.833
Wettin-Löbejün;Stadt;Saalekreis;12.175;12.342;10.560;9.955
Wimmelburg;Gemeinde;Mansfeld-Südharz;1.411;1.442;1.267;1.206
Wittenberg;Stadt;Wittenberg;59.520;55.006;47.390;46.475
Wolmirsleben;Gemeinde;Salzlandkreis;1.672;1.633;1.397;1.351
Wolmirstedt;Stadt;Börde;13.222;13.204;11.708;11.620
Wust-Fischbeck;Gemeinde;Stendal;1.632;1.617;1.420;1.307
Zahna-Elster;Stadt;Wittenberg;11.501;11.286;9.803;9.288
Zehrental;Gemeinde;Stendal;1.215;1.232;961;898
Zeitz;Stadt;Burgenlandkreis;43.082;37.951;30.445;29.052
Zerbst/Anhalt;Stadt;Anhalt-Bitterfeld;28.400;26.892;22.608;22.055
Zielitz;Gemeinde;Börde;2.718;2.370;1.901;1.786
Zörbig;Stadt;Anhalt-Bitterfeld;10.527;10.852;9.720;9.417
