Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Steuden;Siedlung;Saalekreis;750
Steutz;Siedlung;Anhalt-Bitterfeld;550
Stiege;Siedlung;Harz;1.020
Stöbnitz;Siedlung;Saalekreis;730
Stolberg (Harz);Siedlung;Mansfeld-Südharz;1.120
Stößen;Siedlung;Burgenlandkreis;970
Straach;Siedlung;Wittenberg;560
Straßberg;Siedlung;Harz;680
Strenzfeld;Siedlung;Salzlandkreis;570
Ströbeck;Siedlung;Harz;1.040
Süplingen;Siedlung;Börde;780
Sylda;Siedlung;Mansfeld-Südharz;500
Tangerhütte;Siedlung;Stendal;5.090
Tangermünde;Siedlung;Stendal;8.930
Tanne;Siedlung;Harz;580
Taucha;Siedlung;Burgenlandkreis;610
Teicha;Siedlung;Saalekreis;1.220
Teuchern;Siedlung;Burgenlandkreis;2.940
Teutschenthal;Siedlung;Saalekreis;4.850
Thale;Siedlung;Harz;10.300
Thalheim;Siedlung;Anhalt-Bitterfeld;1.390
Theißen;Siedlung;Burgenlandkreis;1.840
Tilleda (Kyffhäuser);Siedlung;Mansfeld-Südharz;850
Timmenrode;Siedlung;Harz;960
Tollwitz - Ragwitz;Siedlung;Saalekreis;1.010
Trebitz;Siedlung;Wittenberg;880
Tröglitz;Siedlung;Burgenlandkreis;2.300
Tucheim;Siedlung;Jerichower Land;1.190
Uchtspringe;Siedlung;Stendal;780
Uenglingen;Siedlung;Stendal;920
Uftrungen;Siedlung;Mansfeld-Südharz;930
Uichteritz;Siedlung;Burgenlandkreis;1.050
Ummendorf;Siedlung;Börde;970
Unseburg;Siedlung;Salzlandkreis;1.130
Uthmöden;Siedlung;Börde;510
Veckenstedt;Siedlung;Harz;1.420
Vockerode;Siedlung;Wittenberg;1.520
Volkstedt;Siedlung;Mansfeld-Südharz;990
Völpke;Siedlung;Börde;1.070
Wackersleben;Siedlung;Börde;660
Wahlitz;Siedlung;Jerichower Land;960
Walbeck;Siedlung;Börde;650
Walbeck;Siedlung;Mansfeld-Südharz;870
Waldersee;Siedlung;Dessau-Roßlau;2.580
Wallendorf (Luppe);Siedlung;Saalekreis;720
Wallhausen;Siedlung;Mansfeld-Südharz;1.430
Wallwitz (Saalkreis) - Trebitz;Siedlung;Saalekreis;940
Wansleben am See;Siedlung;Mansfeld-Südharz;1.590
Wanzleben;Siedlung;Börde;4.080
Warnstedt;Siedlung;Harz;610
Warsleben;Siedlung;Börde;520
Wartenburg;Siedlung;Wittenberg;710
Wasserleben;Siedlung;Harz;1.400
Weddersleben;Siedlung;Harz;960
Wedringen;Siedlung;Börde;560
Wefensleben;Siedlung;Börde;1.640
Weferlingen;Siedlung;Börde;1.940
Wegeleben;Siedlung;Harz;2.060
Weißandt-Gölzau;Siedlung;Anhalt-Bitterfeld;1.640
Weißenfels;Siedlung;Burgenlandkreis;30.100
Welbsleben;Siedlung;Mansfeld-Südharz;680
Wellen;Siedlung;Börde;1.250
Welsleben;Siedlung;Salzlandkreis;1.760
