Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Kleinmühlingen;Siedlung;Salzlandkreis;520
Klein Oschersleben;Siedlung;Börde;550
Kleinpaschleben;Siedlung;Anhalt-Bitterfeld;770
Klein Quenstedt;Siedlung;Harz;620
Klein Rodensleben;Siedlung;Börde;540
Klein Wanzleben;Siedlung;Börde;1.690
Klieken;Siedlung;Wittenberg;740
Klietz;Siedlung;Stendal;1.090
Klöden;Siedlung;Wittenberg;530
Klostermansfeld;Siedlung;Mansfeld-Südharz;2.550
Klötze;Siedlung;Altmarkkreis Salzwedel;4.820
Kochstedt;Siedlung;Dessau-Roßlau;4.250
Köchstedt;Siedlung;Saalekreis;1.270
Königerode;Siedlung;Harz;770
Könnern;Siedlung;Salzlandkreis;3.080
Köthen (Anhalt);Siedlung;Anhalt-Bitterfeld;24.300
Kötschlitz;Siedlung;Saalekreis;660
Kötzschau;Siedlung;Saalekreis;1.070
Kretzschau;Siedlung;Burgenlandkreis;1.170
Krina;Siedlung;Anhalt-Bitterfeld;660
Kroppenstedt;Siedlung;Börde;1.500
Kropstädt;Siedlung;Wittenberg;780
Kunrau;Siedlung;Altmarkkreis Salzwedel;780
Kusey - Köbbelitz;Siedlung;Altmarkkreis Salzwedel;820
Landsberg;Siedlung;Saalekreis;3.340
Langeln;Siedlung;Harz;1.030
Langenbogen;Siedlung;Saalekreis;1.670
Langeneichstädt;Siedlung;Saalekreis;1.360
Langenstein;Siedlung;Harz;1.620
Langenweddingen;Siedlung;Börde;2.130
Latdorf;Siedlung;Salzlandkreis;710
Laucha an der Unstrut;Siedlung;Burgenlandkreis;2.000
Leißling;Siedlung;Burgenlandkreis;1.500
Leitzkau;Siedlung;Jerichower Land;920
Lengefeld;Siedlung;Mansfeld-Südharz;660
Letzlingen;Siedlung;Altmarkkreis Salzwedel;1.480
Leuna;Siedlung;Saalekreis;6.060
Lieskau;Siedlung;Saalekreis;2.310
Linda (Elster);Siedlung;Wittenberg;520
Lindau;Siedlung;Anhalt-Bitterfeld;760
Lindhorst;Siedlung;Börde;740
Löbejün;Siedlung;Saalekreis;1.860
Löberitz;Siedlung;Anhalt-Bitterfeld;960
Loburg;Siedlung;Jerichower Land;1.890
Lochau;Siedlung;Saalekreis;1.060
Löderburg;Siedlung;Salzlandkreis;2.570
Lodersleben;Siedlung;Saalekreis;800
Loitsche;Siedlung;Börde;530
Lossa;Siedlung;Burgenlandkreis;780
Lostau;Siedlung;Jerichower Land;1.850
Lüderitz - Groß Schwarzlosen;Siedlung;Stendal;960
Lunstädt - Roßbach;Siedlung;Saalekreis;1.380
Lützen;Siedlung;Burgenlandkreis;3.200
Magdeburg;Siedlung;Magdeburg;225.500
Mallendorf;Siedlung;Burgenlandkreis;1.500
