Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Lüdersdorf;Siedlung;Nordwestmecklenburg;1.180
Ludwigslust;Siedlung;Ludwigslust-Parchim;9.110
Lühmannsdorf;Siedlung;Vorpommern-Greifswald;600
Lüssow;Siedlung;Landkreis Rostock;500
Lützow;Siedlung;Nordwestmecklenburg;1.090
Malchin;Siedlung;Mecklenburgische Seenplatte;6.540
Malchow;Siedlung;Mecklenburgische Seenplatte;6.540
Malliß;Siedlung;Ludwigslust-Parchim;690
Markgrafenheide;Siedlung;Rostock;610
Marlow;Siedlung;Vorpommern-Rügen;1.570
Marnitz;Siedlung;Ludwigslust-Parchim;680
Mestlin;Siedlung;Ludwigslust-Parchim;600
Mirow;Siedlung;Mecklenburgische Seenplatte;2.980
Möllenhagen;Siedlung;Mecklenburgische Seenplatte;800
Mönchhagen;Siedlung;Landkreis Rostock;940
Mönkebude;Siedlung;Vorpommern-Greifswald;750
Mühl Rosin;Siedlung;Landkreis Rostock;590
Negast;Siedlung;Vorpommern-Rügen;1.800
Neubrandenburg;Siedlung;Mecklenburgische Seenplatte;61.700
Neubukow;Siedlung;Landkreis Rostock;3.670
Neuburg;Siedlung;Nordwestmecklenburg;1.060
Neuendorf;Siedlung;Mecklenburgische Seenplatte;800
Neuenkirchen (Amt Landhagen);Siedlung;Vorpommern-Greifswald;1.830
Neukalen;Siedlung;Mecklenburgische Seenplatte;1.540
Neu Kaliß;Siedlung;Ludwigslust-Parchim;1.670
Neukloster;Siedlung;Nordwestmecklenburg;3.550
Neu Lüdershagen;Siedlung;Vorpommern-Rügen;530
Neustadt-Glewe;Siedlung;Ludwigslust-Parchim;5.610
Neustrelitz;Siedlung;Mecklenburgische Seenplatte;19.200
Neverin;Siedlung;Mecklenburgische Seenplatte;880
Niendorf;Siedlung;Landkreis Rostock;500
Nienhagen;Siedlung;Landkreis Rostock;1.260
Niepars;Siedlung;Vorpommern-Rügen;1.390
Nossentiner Hütte;Siedlung;Mecklenburgische Seenplatte;610
Pampow;Siedlung;Ludwigslust-Parchim;2.780
Papendorf;Siedlung;Landkreis Rostock;820
Parchim;Siedlung;Ludwigslust-Parchim;16.500
Parkentin;Siedlung;Landkreis Rostock;820
Parow;Siedlung;Vorpommern-Rügen;760
Pasewalk;Siedlung;Vorpommern-Greifswald;10.400
Pastow;Siedlung;Landkreis Rostock;810
Penkun;Siedlung;Vorpommern-Greifswald;1.070
Penzlin;Siedlung;Mecklenburgische Seenplatte;2.110
Picher;Siedlung;Ludwigslust-Parchim;570
Pingelshagen;Siedlung;Nordwestmecklenburg;520
Pinnow;Siedlung;Ludwigslust-Parchim;1.440
Plate;Siedlung;Ludwigslust-Parchim;2.510
Plau am See;Siedlung;Ludwigslust-Parchim;3.930
Pokrent;Siedlung;Nordwestmecklenburg;500
Pölchow;Siedlung;Landkreis Rostock;590
Poseritz;Siedlung;Vorpommern-Rügen;640
Prerow;Siedlung;Vorpommern-Rügen;1.470
Prohn;Siedlung;Vorpommern-Rügen;1.840
Proseken;Siedlung;Nordwestmecklenburg;1.170
Pruchten;Siedlung;Vorpommern-Rügen;520
Putbus;Siedlung;Vorpommern-Rügen;2.400
Raben Steinfeld;Siedlung;Ludwigslust-Parchim;1.070
Rambin;Siedlung;Vorpommern-Rügen;630
Rastow;Siedlung;Ludwigslust-Parchim;1.040
Rechlin;Siedlung;Mecklenburgische Seenplatte;1.580
Reddelich;Siedlung;Landkreis Rostock;740
Redefin;Siedlung;Ludwigslust-Parchim;540
Redentin;Siedlung;Nordwestmecklenburg;790
Rehna;Siedlung;Nordwestmecklenburg;2.660
Reinberg;Siedlung;Vorpommern-Rügen;600
Reinkenhagen;Siedlung;Vorpommern-Rügen;910
Rerik;Siedlung;Landkreis Rostock;1.630
