Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Krefeld;Kreisfreie Stadt;Krefeld;249.606;239.559;222.247;225.144
Kreuzau;Gemeinde;Düren;16.989;18.234;17.123;17.441
Kreuztal;Stadt;Siegen-Wittgenstein;32.243;32.127;30.754;31.500
Kürten;Gemeinde;Rheinisch-Bergischer Kreis;18.771;19.679;19.531;19.893
Ladbergen;Gemeinde;Steinfurt;6.058;6.455;6.372;6.694
Laer;Gemeinde;Steinfurt;5.999;6.314;6.485;6.721
Lage;Stadt;Lippe;35.931;36.157;34.824;35.120
Langenberg;Gemeinde;Gütersloh;7.719;8.196;8.151;8.375
Langenfeld (Rheinland);Stadt;Mettmann;56.676;58.757;56.829;58.033
Langerwehe;Gemeinde;Düren;12.999;13.856;13.440;13.791
Legden;Gemeinde;Borken;6.003;6.663;6.939;7.254
Leichlingen (Rheinland);Stadt;Rheinisch-Bergischer Kreis;26.366;26.934;27.478;27.937
Lemgo;Stadt;Lippe;41.403;42.188;41.032;41.276
Lengerich;Stadt;Steinfurt;21.802;22.259;21.828;22.461
Lennestadt;Stadt;Olpe;27.650;28.046;26.473;26.073
Leopoldshöhe;Gemeinde;Lippe;15.309;16.396;15.922;16.401
Leverkusen;Kreisfreie Stadt;Leverkusen;162.252;160.829;158.984;163.487
Lichtenau;Stadt;Paderborn;10.461;11.138;10.473;10.589
Lienen;Gemeinde;Steinfurt;8.575;9.017;8.577;8.559
Lindlar;Gemeinde;Oberbergischer Kreis;20.804;22.517;21.252;21.382
Linnich;Stadt;Düren;13.697;13.898;12.549;12.591
Lippetal;Gemeinde;Soest;12.081;12.647;11.959;12.027
Lippstadt;Stadt;Soest;66.636;67.231;65.886;67.233
Lohmar;Stadt;Rhein-Sieg-Kreis;29.509;30.936;29.475;30.348
Löhne;Stadt;Herford;41.246;41.580;39.671;40.086
Lotte;Gemeinde;Steinfurt;11.594;13.122;13.728;14.175
Lübbecke;Stadt;Minden-Lübbecke;25.301;25.937;25.473;25.462
Lüdenscheid;Stadt;Märkischer Kreis;81.837;80.509;73.762;73.354
Lüdinghausen;Stadt;Coesfeld;21.569;23.333;23.544;24.263
Lügde;Stadt;Lippe;12.003;11.603;10.209;9.751
Lünen;Stadt;Unna;91.592;92.005;86.010;85.867
Marienheide;Gemeinde;Oberbergischer Kreis;13.032;13.491;13.687;13.560
Marienmünster;Stadt;Höxter;5.233;5.458;5.356;5.125
Marl;Stadt;Recklinghausen;92.965;92.628;84.782;83.926
Marsberg;Stadt;Hochsauerlandkreis;23.058;22.382;20.428;19.968
Mechernich;Stadt;Euskirchen;24.575;26.460;26.736;27.170
Meckenheim;Stadt;Rhein-Sieg-Kreis;24.558;25.440;23.563;24.357
Medebach;Stadt;Hochsauerlandkreis;8.200;8.345;7.970;7.938
Meerbusch;Stadt;Rhein-Kreis Neuss;54.206;55.172;54.313;54.892
Meinerzhagen;Stadt;Märkischer Kreis;21.554;22.031;21.073;20.670
Menden (Sauerland);Stadt;Märkischer Kreis;58.424;59.183;54.495;53.485
Merzenich;Gemeinde;Düren;8.873;9.995;9.835;9.950
Meschede;Stadt;Hochsauerlandkreis;32.590;32.645;30.745;30.119
Metelen;Gemeinde;Steinfurt;6.177;6.313;6.397;6.461
Mettingen;Gemeinde;Steinfurt;11.783;12.510;11.830;11.815
Mettmann;Stadt;Mettmann;38.812;39.125;37.972;38.291
Minden;Stadt;Minden-Lübbecke;82.971;82.898;80.121;81.598
Moers;Stadt;Wesel;107.095;107.421;104.009;104.529
Möhnesee;Gemeinde;Soest;10.114;11.164;11.041;11.608
Mönchengladbach;Kreisfreie Stadt;Mönchengladbach;266.702;262.963;255.188;259.996
Monheim am Rhein;Stadt;Mettmann;43.811;43.685;40.280;40.885
Monschau;Stadt;Städteregion Aachen;12.541;13.002;12.085;12.352
Morsbach;Gemeinde;Oberbergischer Kreis;11.169;11.520;10.565;10.402
Much;Gemeinde;Rhein-Sieg-Kreis;13.883;14.889;14.119;14.468
Mülheim an der Ruhr;Kreisfreie Stadt;Mülheim an der Ruhr;176.530;172.332;166.865;169.278
Münster;Kreisfreie Stadt;Münster;265.061;267.197;289.576;310.039
Nachrodt-Wiblingwerde;Gemeinde;Märkischer Kreis;6.964;6.983;6.724;6.644
Netphen;Stadt;Siegen-Wittgenstein;24.897;25.038;23.326;23.393
Nettersheim;Gemeinde;Euskirchen;7.298;7.882;7.563;7.469
Nettetal;Stadt;Viersen;40.348;42.085;41.417;41.964
Neuenkirchen;Gemeinde;Steinfurt;12.473;13.610;13.698;13.743
Neuenrade;Stadt;Märkischer Kreis;12.009;12.377;12.156;12.024
Neukirchen-Vluyn;Stadt;Wesel;27.571;28.566;27.033;27.178
Neunkirchen;Gemeinde;Siegen-Wittgenstein;14.717;14.391;13.930;13.717
Neunkirchen-Seelscheid;Gemeinde;Rhein-Sieg-Kreis;18.508;20.328;19.780;19.862
Neuss;Stadt;Rhein-Kreis Neuss;148.796;150.957;150.568;155.414
Nideggen;Stadt;Düren;9.675;10.729;9.877;9.893
Niederkassel;Stadt;Rhein-Sieg-Kreis;31.201;35.077;36.496;37.583
Niederkrüchten;Gemeinde;Viersen;12.862;14.749;14.963;15.184
Niederzier;Gemeinde;Düren;13.176;14.235;13.758;13.915
Nieheim;Stadt;Höxter;7.114;7.049;6.578;6.254
Nordkirchen;Gemeinde;Coesfeld;9.283;10.088;9.662;9.781
Nordwalde;Gemeinde;Steinfurt;9.071;9.407;9.368;9.388
Nörvenich;Gemeinde;Düren;10.760;11.628;10.575;10.552
Nottuln;Gemeinde;Coesfeld;17.823;19.599;19.160;19.436
Nümbrecht;Gemeinde;Oberbergischer Kreis;16.526;17.009;16.700;17.002
Oberhausen;Kreisfreie Stadt;Oberhausen;224.397;221.619;210.216;210.934
Ochtrup;Stadt;Steinfurt;18.176;18.977;18.876;19.599
Odenthal;Gemeinde;Rheinisch-Bergischer Kreis;13.909;15.120;14.824;15.123
Oelde;Stadt;Warendorf;28.847;29.406;28.940;29.299
Oer-Erkenschwick;Stadt;Recklinghausen;30.302;30.516;30.861;31.387
Oerlinghausen;Stadt;Lippe;17.165;17.435;16.684;17.616
Olfen;Stadt;Coesfeld;9.936;11.845;12.084;12.490
Olpe;Stadt;Olpe;24.605;25.371;24.822;24.757
Olsberg;Stadt;Hochsauerlandkreis;16.267;16.233;15.057;14.874
Ostbevern;Gemeinde;Warendorf;8.686;10.109;10.624;10.873
Overath;Stadt;Rheinisch-Bergischer Kreis;25.319;26.410;26.968;27.264
Paderborn;Stadt;Paderborn;133.717;140.869;142.365;148.126
Petershagen;Stadt;Minden-Lübbecke;26.142;27.103;26.105;25.663
Plettenberg;Stadt;Märkischer Kreis;29.519;28.959;26.235;25.781
Porta Westfalica;Stadt;Minden-Lübbecke;35.794;36.277;35.623;35.430
Preußisch Oldendorf;Stadt;Minden-Lübbecke;12.500;13.417;12.741;12.647
Pulheim;Stadt;Rhein-Erft-Kreis;51.365;53.441;52.929;54.200
Radevormwald;Stadt;Oberbergischer Kreis;24.353;24.668;22.518;22.386
Raesfeld;Gemeinde;Borken;10.510;11.109;11.140;11.378
Rahden;Stadt;Minden-Lübbecke;14.850;15.856;15.634;15.581
Ratingen;Stadt;Mettmann;89.534;91.793;86.967;87.943
Recke;Gemeinde;Steinfurt;10.869;11.694;11.378;11.363
Recklinghausen;Stadt;Recklinghausen;127.216;124.587;115.958;114.330
Rees;Stadt;Kleve;20.010;21.995;21.520;21.349
Reichshof;Gemeinde;Oberbergischer Kreis;18.385;19.885;19.017;18.837
Reken;Gemeinde;Borken;12.754;14.027;14.321;14.532
Remscheid;Kreisfreie Stadt;Remscheid;122.260;118.753;110.708;109.499
Rheda-Wiedenbrück;Stadt;Gütersloh;42.155;45.235;46.515;48.000
Rhede;Stadt;Borken;18.006;18.774;19.102;19.284
Rheinbach;Stadt;Rhein-Sieg-Kreis;24.733;25.986;26.377;27.224
Rheinberg;Stadt;Wesel;29.638;31.712;30.867;31.023
Rheine;Stadt;Steinfurt;74.587;75.925;72.749;74.852
Rheurdt;Gemeinde;Kleve;5.983;6.474;6.661;6.709
Rietberg;Stadt;Gütersloh;26.435;28.214;28.562;29.436
Rödinghausen;Gemeinde;Herford;9.308;10.214;9.865;9.717
Roetgen;Gemeinde;Städteregion Aachen;7.443;8.052;8.312;8.527
Rommerskirchen;Gemeinde;Rhein-Kreis Neuss;12.151;12.410;12.475;13.137
Rosendahl;Gemeinde;Coesfeld;10.392;10.922;10.534;10.712
Rösrath;Stadt;Rheinisch-Bergischer Kreis;24.286;26.613;27.492;28.386
Ruppichteroth;Gemeinde;Rhein-Sieg-Kreis;9.484;10.238;10.288;10.461
Rüthen;Stadt;Soest;11.709;11.490;10.635;11.095
Saerbeck;Gemeinde;Steinfurt;5.633;6.636;7.157;7.191
Salzkotten;Stadt;Paderborn;22.211;23.680;24.434;25.186
Sankt Augustin;Stadt;Rhein-Sieg-Kreis;55.065;55.539;53.850;55.709
Sassenberg;Stadt;Warendorf;12.057;13.691;13.981;14.403
Schalksmühle;Gemeinde;Märkischer Kreis;12.218;11.986;10.882;10.528
Schermbeck;Gemeinde;Wesel;13.094;13.624;13.337;13.635
Schieder-Schwalenberg;Stadt;Lippe;9.636;9.523;8.993;8.708
Schlangen;Gemeinde;Lippe;8.194;8.917;8.881;9.144
Schleiden;Stadt;Euskirchen;13.784;14.030;13.096;13.272
Schloß Holte-Stukenbrock;Stadt;Gütersloh;23.248;25.829;26.386;27.092
Schmallenberg;Stadt;Hochsauerlandkreis;26.620;26.538;25.475;25.230
Schöppingen;Gemeinde;Borken;6.379;8.213;6.882;7.280
Schwalmtal;Gemeinde;Viersen;17.116;19.370;19.062;19.139
Schwelm;Stadt;Ennepe-Ruhr-Kreis;30.729;30.351;28.435;28.330
Schwerte;Stadt;Unna;50.734;50.534;46.743;46.723
Selfkant;Gemeinde;Heinsberg;8.980;9.573;9.948;10.167
Selm;Stadt;Unna;26.214;27.389;26.017;26.603
Senden;Gemeinde;Coesfeld;18.796;19.703;19.976;20.455
Sendenhorst;Stadt;Warendorf;12.252;13.139;12.834;13.218
Siegburg;Stadt;Rhein-Sieg-Kreis;36.998;37.865;38.780;41.016
Siegen;Stadt;Siegen-Wittgenstein;111.398;108.397;99.187;102.355
Simmerath;Gemeinde;Städteregion Aachen;14.525;15.415;15.122;15.266
Soest;Stadt;Soest;47.730;48.361;46.742;47.974
Solingen;Kreisfreie Stadt;Solingen;165.735;165.032;155.265;158.726
Sonsbeck;Gemeinde;Wesel;7.346;8.460;8.666;8.819
Spenge;Stadt;Herford;15.601;15.796;14.812;14.768
Sprockhövel;Stadt;Ennepe-Ruhr-Kreis;25.442;26.419;25.444;25.205
Stadtlohn;Stadt;Borken;19.139;20.407;20.164;20.411
Steinfurt;Stadt;Steinfurt;33.268;34.052;33.392;33.682
Steinhagen;Gemeinde;Gütersloh;18.591;19.745;20.157;20.749
Steinheim;Stadt;Höxter;13.296;14.008;13.107;12.922
Stemwede;Gemeinde;Minden-Lübbecke;14.049;14.525;13.843;13.571
Stolberg (Rhld.);Stadt;Städteregion Aachen;58.203;58.718;56.206;56.739
Straelen;Stadt;Kleve;14.511;15.337;15.367;15.641
Südlohn;Gemeinde;Borken;8.460;8.698;8.882;9.134
Sundern (Sauerland);Stadt;Hochsauerlandkreis;29.368;29.864;28.565;28.166
Swisttal;Gemeinde;Rhein-Sieg-Kreis;17.865;17.954;17.604;18.204
Tecklenburg;Stadt;Steinfurt;9.159;9.422;8.824;9.062
Telgte;Stadt;Warendorf;18.472;19.370;18.866;19.557
Titz;Gemeinde;Düren;8.269;8.498;8.289;8.277
Tönisvorst;Stadt;Viersen;28.385;30.477;29.574;29.296
Troisdorf;Stadt;Rhein-Sieg-Kreis;68.778;73.282;72.408;74.400
Übach-Palenberg;Stadt;Heinsberg;23.849;25.049;24.220;24.377
Uedem;Gemeinde;Kleve;7.733;8.353;8.217;8.266
Unna;Stadt;Unna;66.475;70.117;59.149;59.111
Velbert;Stadt;Mettmann;89.786;89.823;81.303;81.430
Velen;Stadt;Borken;11.664;12.940;12.990;13.192
Verl;Stadt;Gütersloh;21.626;23.768;24.766;25.512
Versmold;Stadt;Gütersloh;19.680;20.634;20.898;21.230
Vettweiß;Gemeinde;Düren;7.834;8.683;8.954;9.223
Viersen;Stadt;Viersen;77.338;77.259;74.941;75.931
Vlotho;Stadt;Herford;20.520;20.544;19.232;18.914
Voerde (Niederrhein);Stadt;Wesel;38.269;38.935;37.134;36.675
Vreden;Stadt;Borken;20.745;21.931;22.400;22.688
Wachtberg;Gemeinde;Rhein-Sieg-Kreis;18.716;19.162;19.451;20.457
Wachtendonk;Gemeinde;Kleve;7.185;7.626;7.804;8.189
Wadersloh;Gemeinde;Warendorf;12.944;13.155;12.350;12.443
Waldbröl;Stadt;Oberbergischer Kreis;18.490;19.213;18.964;19.194
Waldfeucht;Gemeinde;Heinsberg;8.724;9.307;8.733;8.861
Waltrop;Stadt;Recklinghausen;30.466;30.437;29.017;29.354
Warburg;Stadt;Höxter;24.178;24.218;23.547;23.629
Warendorf;Stadt;Warendorf;36.991;38.988;36.982;37.249
Warstein;Stadt;Soest;29.566;29.007;25.966;25.407
Wassenberg;Stadt;Heinsberg;14.280;16.044;16.944;17.898
Weeze;Gemeinde;Kleve;9.134;9.976;10.047;10.611
Wegberg;Stadt;Heinsberg;26.989;28.800;27.865;27.827
Weilerswist;Gemeinde;Euskirchen;15.314;16.337;15.462;16.997
Welver;Gemeinde;Soest;11.563;12.848;12.253;12.140
Wenden;Gemeinde;Olpe;18.604;19.658;19.665;19.873
Werdohl;Stadt;Märkischer Kreis;22.227;21.265;18.430;18.002
Werl;Stadt;Soest;30.533;31.819;30.303;30.638
