Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Heusenstamm;Stadt;Offenbach;18.498;18.828;17.929;18.752
Hilders;Marktgemeinde;Fulda;5.055;4.957;4.626;4.757
Hirschhorn (Neckar);Stadt;Bergstraße;3.811;3.752;3.541;3.436
Hirzenhain;Gemeinde;Wetteraukreis;3.092;3.050;2.893;2.828
Hochheim am Main;Stadt;Main-Taunus-Kreis;16.031;17.232;16.886;17.057
Höchst i. Odw.;Gemeinde;Odenwaldkreis;9.676;10.056;9.928;10.076
Hofbieber;Gemeinde;Fulda;5.776;6.311;6.069;5.985
Hofgeismar;Stadt;Kassel;16.602;16.880;15.109;14.872
Hofheim am Taunus;Stadt;Main-Taunus-Kreis;36.245;37.638;37.842;39.476
Hohenahr;Gemeinde;Lahn-Dill-Kreis;5.010;5.044;4.886;4.810
Hohenroda;Gemeinde;Hersfeld-Rotenburg;3.652;3.447;3.201;3.114
Hohenstein;Gemeinde;Rheingau-Taunus-Kreis;6.338;6.202;6.025;6.112
Homberg (Efze);Stadt;Schwalm-Eder-Kreis;15.388;15.345;13.949;13.907
Homberg (Ohm);Stadt;Vogelsbergkreis;8.024;8.077;7.659;7.568
Hosenfeld;Gemeinde;Fulda;4.488;4.700;4.726;4.629
Hünfeld;Stadt;Fulda;15.379;16.159;15.850;15.996
Hünfelden;Gemeinde;Limburg-Weilburg;9.983;10.341;9.785;9.646
Hungen;Stadt;Gießen;12.748;12.747;12.500;12.471
Hünstetten;Gemeinde;Rheingau-Taunus-Kreis;9.298;9.863;9.993;10.421
Hüttenberg;Gemeinde;Lahn-Dill-Kreis;10.178;10.296;10.532;10.731
Idstein;Stadt;Rheingau-Taunus-Kreis;22.176;22.786;23.271;24.108
Immenhausen;Stadt;Kassel;7.218;7.171;6.991;6.868
Jesberg;Gemeinde;Schwalm-Eder-Kreis;2.878;2.783;2.478;2.347
Jossgrund;Gemeinde;Main-Kinzig-Kreis;4.652;3.866;3.626;3.448
Kalbach;Gemeinde;Fulda;6.106;6.316;6.304;6.264
Karben;Stadt;Wetteraukreis;20.638;21.385;21.149;22.163
Kassel;Kreisfreie Stadt;Kassel Stadt;201.573;194.748;190.765;197.984
Kaufungen;Gemeinde;Kassel;11.921;12.647;12.524;12.406
Kefenrod;Gemeinde;Wetteraukreis;3.038;3.046;2.787;2.726
Kelkheim (Taunus);Stadt;Main-Taunus-Kreis;26.494;26.894;27.685;28.452
Kelsterbach;Stadt;Groß-Gerau;14.491;14.263;13.312;15.721
Kiedrich;Gemeinde;Rheingau-Taunus-Kreis;3.697;3.867;3.897;4.106
Kirchhain;Stadt;Marburg-Biedenkopf;16.287;16.398;16.182;16.294
Kirchheim;Gemeinde;Hersfeld-Rotenburg;4.145;4.033;3.651;4.093
Kirtorf;Stadt;Vogelsbergkreis;3.643;3.679;3.373;3.222
Knüllwald;Gemeinde;Schwalm-Eder-Kreis;5.323;5.151;4.537;4.508
Königstein im Taunus;Stadt;Hochtaunuskreis;15.563;15.642;15.718;16.393
Korbach;Stadt;Waldeck-Frankenberg;24.033;24.490;23.505;23.515
Körle;Gemeinde;Schwalm-Eder-Kreis;2.914;2.909;2.943;2.911
Kriftel;Gemeinde;Main-Taunus-Kreis;10.561;10.639;10.439;10.898
Kronberg im Taunus;Stadt;Hochtaunuskreis;17.795;17.852;17.814;18.330
Künzell;Gemeinde;Fulda;15.795;16.277;16.053;16.322
Lahnau;Gemeinde;Lahn-Dill-Kreis;8.611;8.512;8.094;8.142
Lahntal;Gemeinde;Marburg-Biedenkopf;6.600;6.665;6.819;6.874
Lampertheim;Stadt;Bergstraße;32.057;32.166;31.037;32.303
Langen (Hessen);Stadt;Offenbach;33.975;35.390;34.939;37.026
Langenselbold;Stadt;Main-Kinzig-Kreis;12.466;12.613;13.422;13.810
Langgöns;Gemeinde;Gießen;11.555;11.990;11.673;11.494
Laubach;Stadt;Gießen;10.439;10.607;9.728;9.632
Lauterbach (Hessen);Stadt;Vogelsbergkreis;14.771;14.673;13.263;14.119
Lautertal (Odenwald);Gemeinde;Bergstraße;7.315;7.426;7.144;7.201
Lautertal (Vogelsberg);Gemeinde;Vogelsbergkreis;2.711;2.685;2.473;2.367
Leun;Stadt;Lahn-Dill-Kreis;5.764;6.026;5.816;5.862
Lich;Stadt;Gießen;13.114;13.221;13.101;13.290
Lichtenfels;Stadt;Waldeck-Frankenberg;4.550;4.469;4.206;4.181
Liebenau;Stadt;Kassel;3.625;3.680;3.321;3.123
Liederbach am Taunus;Gemeinde;Main-Taunus-Kreis;7.615;8.323;8.680;8.939
Limburg a.d. Lahn;Stadt;Limburg-Weilburg;33.005;33.488;33.583;34.255
Limeshain;Gemeinde;Wetteraukreis;5.351;5.508;5.255;5.480
Linden;Stadt;Gießen;11.947;12.293;12.063;12.747
Lindenfels;Stadt;Bergstraße;5.342;5.288;5.044;5.086
Linsengericht;Gemeinde;Main-Kinzig-Kreis;9.208;9.690;9.862;9.944
Lohfelden;Gemeinde;Kassel;13.097;13.770;13.482;13.591
Löhnberg;Gemeinde;Limburg-Weilburg;4.480;4.461;4.310;4.379
Lohra;Gemeinde;Marburg-Biedenkopf;5.716;5.724;5.627;5.465
Lollar;Stadt;Gießen;10.350;10.103;9.830;10.029
Lorch;Stadt;Rheingau-Taunus-Kreis;4.658;4.262;3.806;4.056
Lorsch;Stadt;Bergstraße;11.594;12.358;12.876;13.515
Ludwigsau;Gemeinde;Hersfeld-Rotenburg;5.948;6.018;5.707;5.530
Lützelbach;Gemeinde;Odenwaldkreis;7.288;7.345;6.866;6.910
Mainhausen;Gemeinde;Offenbach;8.091;8.643;8.980;9.211
Maintal;Stadt;Main-Kinzig-Kreis;38.283;38.345;35.805;38.208
Malsfeld;Gemeinde;Schwalm-Eder-Kreis;4.207;4.332;3.932;3.964
Marburg;Stadt;Marburg-Biedenkopf;76.834;77.556;71.683;73.836
Meinhard;Gemeinde;Werra-Meißner-Kreis;5.653;5.380;4.836;4.716
