Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Hosena;Siedlung;Oberspreewald-Lausitz;1.410
Jacobsdorf;Siedlung;Oder-Spree;680
Jänickendorf;Siedlung;Teltow-Fläming;610
Jeserig - Schenkenberg;Siedlung;Potsdam-Mittelmark;3.080
Joachimsthal;Siedlung;Barnim;2.800
Jüterbog;Siedlung;Teltow-Fläming;9.590
Kagel;Siedlung;Oder-Spree;530
Karstädt;Siedlung;Prignitz;2.280
Kersdorf;Siedlung;Oder-Spree;530
Ketzin/Havel;Siedlung;Havelland;2.860
Kiekebusch - Kahren (Kibu_ - Kórje_);Siedlung;Cottbus;2.550
Kirchhain;Siedlung;Elbe-Elster;4.800
Kirchmöser;Siedlung;Brandenburg an der Havel;3.890
Klarahöh;Siedlung;Barnim;550
Kleinbeeren;Siedlung;Teltow-Fläming;850
Klein Köris;Siedlung;Dahme-Spreewald;620
Klein Kreutz;Siedlung;Brandenburg an der Havel;600
Kleinmachnow;Siedlung;Potsdam-Mittelmark;19.500
Klein Schulzendorf;Siedlung;Teltow-Fläming;540
Klettwitz;Siedlung;Oberspreewald-Lausitz;520
Klosterdorf;Siedlung;Märkisch-Oderland;520
Klosterfelde;Siedlung;Barnim;2.900
Kloster Zinna;Siedlung;Teltow-Fläming;790
Kolkwitz (Go_kojce);Siedlung;Spree-Neiße;2.790
Kolonie Britz;Siedlung;Barnim;1.800
Königs Wusterhausen;Siedlung;Dahme-Spreewald;31.800
Koßdorf;Siedlung;Elbe-Elster;660
Kostebrau;Siedlung;Oberspreewald-Lausitz;560
Krahne;Siedlung;Potsdam-Mittelmark;500
Kraupa;Siedlung;Elbe-Elster;620
Kremmen;Siedlung;Oberhavel;2.260
Kroppen;Siedlung;Oberspreewald-Lausitz;680
Krummensee;Siedlung;Dahme-Spreewald;500
Küstrin-Kietz;Siedlung;Märkisch-Oderland;720
Kyritz;Siedlung;Ostprignitz-Ruppin;6.530
Ladeburg;Siedlung;Barnim;1.230
Langengrassau;Siedlung;Dahme-Spreewald;540
Langewahl;Siedlung;Oder-Spree;760
Lauchhammer;Siedlung;Oberspreewald-Lausitz;14.000
Lawitz;Siedlung;Oder-Spree;610
Lebus;Siedlung;Märkisch-Oderland;2.370
Leegebruch;Siedlung;Oberhavel;6.570
Lehnin;Siedlung;Potsdam-Mittelmark;2.810
Lenzen (Elbe);Siedlung;Prignitz;1.700
Letschin;Siedlung;Märkisch-Oderland;1.340
Leuthen (Lutol);Siedlung;Spree-Neiße;820
Lichterfelde;Siedlung;Barnim;1.590
