Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Hirschberg;Siedlung;Saale-Orla-Kreis;1.640
Hohengandern;Siedlung;Eichsfeld;570
Hohenkirchen;Siedlung;Gotha;730
Hohenleuben;Siedlung;Greiz;1.460
Hohenölsen;Siedlung;Greiz;580
Holungen;Siedlung;Eichsfeld;860
Holzhausen;Siedlung;Ilm-Kreis;610
Holzthaleben;Siedlung;Kyffhäuserkreis;960
Höngeda;Siedlung;Unstrut-Hainich-Kreis;740
Hopfgarten;Siedlung;Weimarer Land;680
Hörselgau - Fröttstädt;Siedlung;Gotha;1.640
Horsmar;Siedlung;Unstrut-Hainich-Kreis;550
Hötzelsroda;Siedlung;Eisenach;1.210
Hummelshain;Siedlung;Saale-Holzland-Kreis;540
Hundeshagen;Siedlung;Eichsfeld;1.160
Hüpstedt;Siedlung;Unstrut-Hainich-Kreis;1.380
Ichstedt;Siedlung;Kyffhäuserkreis;620
Ichtershausen;Siedlung;Ilm-Kreis;2.840
Ifta;Siedlung;Wartburgkreis;1.130
Ilfeld;Siedlung;Nordhausen;2.810
Ilmenau;Siedlung;Ilm-Kreis;23.600
Immelborn;Siedlung;Wartburgkreis;1.440
Ingersleben;Siedlung;Gotha;940
Isseroda;Siedlung;Weimarer Land;550
Isserstedt;Siedlung;Jena;830
Jena;Siedlung;Jena;99.200
Jüchsen;Siedlung;Schmalkalden-Meiningen;1.450
Judenbach;Siedlung;Sonneberg;1.120
Jützenbach;Siedlung;Eichsfeld;500
Kahla;Siedlung;Saale-Holzland-Kreis;7.030
Kallmerode;Siedlung;Eichsfeld;570
Kaltennordheim;Siedlung;Wartburgkreis;1.700
Kaltensundheim;Siedlung;Schmalkalden-Meiningen;780
Kaltenwestheim;Siedlung;Schmalkalden-Meiningen;720
Kammerforst;Siedlung;Unstrut-Hainich-Kreis;850
Kamsdorf;Siedlung;Saalfeld-Rudolstadt;2.710
Kannawurf;Siedlung;Sömmerda;840
Katzhütte;Siedlung;Saalfeld-Rudolstadt;840
Kaulsdorf;Siedlung;Saalfeld-Rudolstadt;1.850
Kefferhausen;Siedlung;Eichsfeld;750
Kella;Siedlung;Eichsfeld;530
Kerspleben;Siedlung;Erfurt;1.700
Keula;Siedlung;Kyffhäuserkreis;600
Kieselbach;Siedlung;Wartburgkreis;1.510
Kindelbrück;Siedlung;Sömmerda;1.760
Kirchgandern;Siedlung;Eichsfeld;580
Kirchhasel;Siedlung;Saalfeld-Rudolstadt;600
Kirchheilingen;Siedlung;Unstrut-Hainich-Kreis;810
Kirchheim;Siedlung;Ilm-Kreis;730
Kirchworbis;Siedlung;Eichsfeld;1.390
Kleinaga;Siedlung;Gera;1.500
Kleinschmalkalden;Siedlung;Schmalkalden-Meiningen;1.340
Kleinwerther;Siedlung;Nordhausen;540
Klettbach;Siedlung;Weimarer Land;1.150
Kloster Allendorf;Siedlung;Wartburgkreis;790
Knau;Siedlung;Saale-Orla-Kreis;570
Kölleda;Siedlung;Sömmerda;4.630
Königsee;Siedlung;Saalfeld-Rudolstadt;3.250
Königshofen;Siedlung;Saale-Holzland-Kreis;600
Könitz;Siedlung;Saalfeld-Rudolstadt;1.570
Körner;Siedlung;Unstrut-Hainich-Kreis;1.540
Kraftsdorf;Siedlung;Greiz;1.040
Kranichfeld;Siedlung;Weimarer Land;2.910
Krauthausen;Siedlung;Wartburgkreis;860
Kreuzebra;Siedlung;Eichsfeld;740
Kriebitzsch;Siedlung;Altenburger Land;760
Krimderode;Siedlung;Nordhausen;640
Krölpa;Siedlung;Saale-Orla-Kreis;1.270
Kromsdorf;Siedlung;Weimarer Land;660
Kromsdorf-Nord;Siedlung;Weimarer Land;620
Kühndorf;Siedlung;Schmalkalden-Meiningen;1.000
Kühnhausen;Siedlung;Erfurt;1.160
Küllstedt;Siedlung;Eichsfeld;1.390
Kunitz;Siedlung;Jena;820
Laasdorf;Siedlung;Saale-Holzland-Kreis;500
Langenfeld;Siedlung;Wartburgkreis;1.260
Langenhain;Siedlung;Gotha;680
Langenleuba-Niederhain;Siedlung;Altenburger Land;1.230
Langenorla;Siedlung;Saale-Orla-Kreis;530
Langenwetzendorf;Siedlung;Greiz;1.540
Langenwolschendorf;Siedlung;Greiz;850
Langewiesen;Siedlung;Ilm-Kreis;3.080
Langula;Siedlung;Unstrut-Hainich-Kreis;1.020
Laucha;Siedlung;Gotha;550
Lauchröden;Siedlung;Wartburgkreis;920
Lauscha;Siedlung;Sonneberg;2.550
Lauterbach;Siedlung;Wartburgkreis;660
Legefeld;Siedlung;Weimar;1.640
Lehesten;Siedlung;Saalfeld-Rudolstadt;1.190
Leimbach;Siedlung;Wartburgkreis;1.610
Leimbach;Siedlung;Nordhausen;710
Leina;Siedlung;Gotha;790
Leinefelde;Siedlung;Eichsfeld;8.920
Lengefeld;Siedlung;Unstrut-Hainich-Kreis;830
Lengenfeld unterm Stein;Siedlung;Unstrut-Hainich-Kreis;1.230
Leubingen;Siedlung;Sömmerda;880
Leutenberg;Siedlung;Saalfeld-Rudolstadt;1.380
Lichte;Siedlung;Saalfeld-Rudolstadt;1.590
Liebschütz;Siedlung;Saale-Orla-Kreis;880
Lipprechterode;Siedlung;Nordhausen;550
Lödla;Siedlung;Altenburger Land;550
Lucka;Siedlung;Altenburger Land;3.780
Luisenthal;Siedlung;Gotha;1.220
Lutter;Siedlung;Eichsfeld;650
Magdala;Siedlung;Weimarer Land;1.350
Manebach;Siedlung;Ilm-Kreis;1.350
Marbach;Siedlung;Erfurt;3.710
Marksuhl;Siedlung;Wartburgkreis;1.180
Marlishausen;Siedlung;Ilm-Kreis;1.310
Martinfeld;Siedlung;Eichsfeld;600
Martinroda;Siedlung;Ilm-Kreis;850
Masserberg;Siedlung;Hildburghausen;620
Mechterstädt;Siedlung;Gotha;1.010
Meiningen;Siedlung;Schmalkalden-Meiningen;18.600
Mellenbach-Glasbach;Siedlung;Saalfeld-Rudolstadt;1.010
Mellingen;Siedlung;Weimarer Land;1.170
Mengersgereuth - Hämmern;Siedlung;Sonneberg;2.710
Menteroda;Siedlung;Unstrut-Hainich-Kreis;1.620
Merkers;Siedlung;Wartburgkreis;1.380
Metzels;Siedlung;Schmalkalden-Meiningen;670
Meuselbach-Schwarzmühle;Siedlung;Saalfeld-Rudolstadt;1.070
Meuselwitz;Siedlung;Altenburger Land;6.910
Mihla;Siedlung;Wartburgkreis;2.110
Milz;Siedlung;Hildburghausen;790
Mittelstille;Siedlung;Schmalkalden-Meiningen;550
Mohlsdorf;Siedlung;Greiz;1.240
Möhra;Siedlung;Wartburgkreis;540
Möhrenbach;Siedlung;Ilm-Kreis;660
Molbitz;Siedlung;Saale-Orla-Kreis;560
Molschleben;Siedlung;Gotha;1.090
Molsdorf;Siedlung;Erfurt;550
Mönchenholzhausen;Siedlung;Weimarer Land;750
Mosbach;Siedlung;Wartburgkreis;1.280
Möschlitz;Siedlung;Saale-Orla-Kreis;510
Mühlberg;Siedlung;Gotha;1.280
Mühlhausen/Thüringen;Siedlung;Unstrut-Hainich-Kreis;31.200
Mülverstedt;Siedlung;Unstrut-Hainich-Kreis;700
Mumsdorf;Siedlung;Altenburger Land;630
Münchenbernsdorf;Siedlung;Greiz;2.950
Mupperg;Siedlung;Sonneberg;530
Nägelstedt;Siedlung;Unstrut-Hainich-Kreis;700
Nazza;Siedlung;Wartburgkreis;580
Neubrunn;Siedlung;Schmalkalden-Meiningen;550
Neudietendorf - Kornhochheim;Siedlung;Gotha;2.910
Neuendorf;Siedlung;Eichsfeld;550
Neuhaus am Rennweg;Siedlung;Sonneberg;5.280
Neuhaus-Schierschnitz;Siedlung;Sonneberg;2.170
Neukirchen;Siedlung;Eisenach;580
Neundorf (bei Lobenstein);Siedlung;Saale-Orla-Kreis;600
Neustadt;Siedlung;Eichsfeld;650
Neustadt am Rennsteig;Siedlung;Ilm-Kreis;960
Neustadt an der Orla;Siedlung;Saale-Orla-Kreis;6.590
Neustadt/Harz;Siedlung;Nordhausen;860
Niederdorla;Siedlung;Unstrut-Hainich-Kreis;1.340
Niedergebra;Siedlung;Nordhausen;720
Niedergrunstedt;Siedlung;Weimar;530
Niederorschel;Siedlung;Eichsfeld;2.560
Niederpöllnitz;Siedlung;Greiz;880
Niederroßla;Siedlung;Weimarer Land;1.110
Niedersachswerfen;Siedlung;Nordhausen;3.170
Niederschmalkalden;Siedlung;Schmalkalden-Meiningen;530
Niedertrebra;Siedlung;Weimarer Land;640
Niederwillingen;Siedlung;Ilm-Kreis;650
Niederzimmern;Siedlung;Weimarer Land;1.010
Nöbdenitz;Siedlung;Altenburger Land;520
Nobitz;Siedlung;Altenburger Land;860
Nöda;Siedlung;Sömmerda;820
Nohra;Siedlung;Nordhausen;510
Nordhausen;Siedlung;Nordhausen;35.800
Oberdorla;Siedlung;Unstrut-Hainich-Kreis;2.110
Oberellen;Siedlung;Wartburgkreis;780
Obergebra;Siedlung;Nordhausen;850
Obergrochlitz;Siedlung;Greiz;860
Oberheldrungen;Siedlung;Kyffhäuserkreis;760
Oberhof;Siedlung;Schmalkalden-Meiningen;1.520
Obermaßfeld-Grimmenthal;Siedlung;Schmalkalden-Meiningen;1.200
Oberschönau;Siedlung;Schmalkalden-Meiningen;820
Oberweid;Siedlung;Schmalkalden-Meiningen;540
Oberweißbach/Thür. Wald;Siedlung;Saalfeld-Rudolstadt;1.520
Oechsen;Siedlung;Wartburgkreis;630
Oelze;Siedlung;Saalfeld-Rudolstadt;580
Oettersdorf;Siedlung;Saale-Orla-Kreis;780
Ohrdruf;Siedlung;Gotha;5.440
Olbersleben;Siedlung;Sömmerda;760
Oldisleben;Siedlung;Kyffhäuserkreis;1.840
Oppurg;Siedlung;Saale-Orla-Kreis;720
Orlamünde;Siedlung;Saale-Holzland-Kreis;1.160
Orlishausen - Frohndorf;Siedlung;Sömmerda;1.140
Oßmannstedt;Siedlung;Weimarer Land;1.260
Ostramondra;Siedlung;Sömmerda;540
Pennewitz;Siedlung;Ilm-Kreis;520
Pfafferode;Siedlung;Unstrut-Hainich-Kreis;980
Pfiffelbach;Siedlung;Weimarer Land;510
