Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Effolderbach;Siedlung;Wetteraukreis;510
Egelsbach;Siedlung;Offenbach;10.800
Ehlen;Siedlung;Kassel;2.690
Ehlhalten;Siedlung;Main-Taunus-Kreis;1.160
Ehringen;Siedlung;Waldeck-Frankenberg;770
Ehringshausen;Siedlung;Lahn-Dill-Kreis;4.940
Ehringshausen;Siedlung;Vogelsbergkreis;680
Ehrsten;Siedlung;Kassel;680
Eibach;Siedlung;Lahn-Dill-Kreis;1.150
Eibelshausen;Siedlung;Lahn-Dill-Kreis;3.750
Eichelsachsen;Siedlung;Vogelsbergkreis;610
Eichelsdorf;Siedlung;Wetteraukreis;1.140
Eichen;Siedlung;Main-Kinzig-Kreis;1.700
Eichenzell;Siedlung;Fulda;3.660
Eichhof;Siedlung;Hersfeld-Rotenburg;880
Eidengesäß;Siedlung;Main-Kinzig-Kreis;2.360
Eiershausen;Siedlung;Lahn-Dill-Kreis;900
Eifa;Siedlung;Vogelsbergkreis;690
Einhausen;Siedlung;Bergstraße;6.030
Eisemroth;Siedlung;Lahn-Dill-Kreis;1.190
Eisenbach;Siedlung;Limburg-Weilburg;1.880
Eiterfeld;Siedlung;Fulda;2.140
Eiterhagen;Siedlung;Kassel;640
Eitra;Siedlung;Hersfeld-Rotenburg;600
Elbenberg;Siedlung;Kassel;1.150
Elbgrund - Dorchheim;Siedlung;Limburg-Weilburg;1.430
Elgershausen;Siedlung;Kassel;3.840
Elkerhausen;Siedlung;Limburg-Weilburg;670
Ellar;Siedlung;Limburg-Weilburg;1.360
Ellenbach;Siedlung;Bergstraße;540
Ellenberg;Siedlung;Schwalm-Eder-Kreis;680
Elm;Siedlung;Main-Kinzig-Kreis;1.130
Elnhausen;Siedlung;Marburg-Biedenkopf;1.130
Elters;Siedlung;Fulda;520
Eltmannshausen;Siedlung;Werra-Meißner-Kreis;830
Eltville am Rhein;Siedlung;Rheingau-Taunus-Kreis;8.390
Elz;Siedlung;Limburg-Weilburg;7.660
Emsdorf;Siedlung;Marburg-Biedenkopf;760
Engelhelms;Siedlung;Fulda;1.930
Engelrod;Siedlung;Vogelsbergkreis;560
Engenhahn;Siedlung;Rheingau-Taunus-Kreis;730
Ennerich;Siedlung;Limburg-Weilburg;850
Eppe;Siedlung;Waldeck-Frankenberg;620
Eppenhain;Siedlung;Main-Taunus-Kreis;1.030
Eppertshausen;Siedlung;Darmstadt-Dieburg;5.940
Eppstein;Siedlung;Main-Taunus-Kreis;5.820
Erbach;Siedlung;Odenwaldkreis;10.800
Erbach;Siedlung;Bergstraße;730
Erbach (Rheingau);Siedlung;Rheingau-Taunus-Kreis;3.090
Erbstadt;Siedlung;Main-Kinzig-Kreis;1.360
Erda;Siedlung;Lahn-Dill-Kreis;2.040
Erdbach;Siedlung;Lahn-Dill-Kreis;640
Erdhausen;Siedlung;Marburg-Biedenkopf;730
Erfelden;Siedlung;Groß-Gerau;3.820
