Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Bayerdilling;Siedlung;Donau-Ries;680
Bayerisch Eisenstein;Siedlung;Regen;600
Bayerisch Gmain;Siedlung;Berchtesgadener Land;2.820
Bayreuth;Siedlung;Bayreuth Stadt;67.000
Bayrischzell;Siedlung;Miesbach;1.000
Bechhofen;Siedlung;Ansbach;2.710
Bechtsrieth;Siedlung;Neustadt a.d. Waldnaab;710
Bedernau;Siedlung;Unterallgäu;570
Behlingen;Siedlung;Günzburg;670
Behringersdorf;Siedlung;Nürnberger Land;2.900
Beiersdorf bei Coburg;Siedlung;Coburg Stadt;1.470
Beilngries;Siedlung;Eichstätt;4.430
Bellenberg;Siedlung;Neu-Ulm;4.460
Benediktbeuern;Siedlung;Bad Tölz-Wolfratshausen;3.410
Benningen;Siedlung;Unterallgäu;1.990
Beratzhausen;Siedlung;Regensburg;3.500
Berching;Siedlung;Neumarkt i.d. OPf.;2.690
Berchtesgaden;Siedlung;Berchtesgadener Land;5.320
Berg;Siedlung;Starnberg;2.560
Berg;Siedlung;Hof;970
Berg;Siedlung;Deggendorf;530
Berg b. Neumarkt i.d. OPf.;Siedlung;Neumarkt i.d. OPf.;2.560
Bergen;Siedlung;Traunstein;3.370
Bergham;Siedlung;Erding;680
Bergheim;Siedlung;Neuburg-Schrobenhausen;890
Bergheim;Siedlung;Augsburg Stadt;2.050
Bergheim;Siedlung;Dillingen a.d. Donau;730
Berghof;Siedlung;Ostallgäu;660
Bergkirchen;Siedlung;Dachau;870
Berglern;Siedlung;Erding;1.130
Bergrheinfeld;Siedlung;Schweinfurt;4.600
Bergtheim;Siedlung;Würzburg;2.150
Bernau a. Chiemsee;Siedlung;Rosenheim;5.610
Bernbeuren;Siedlung;Weilheim-Schongau;1.520
Berngau;Siedlung;Neumarkt i.d. OPf.;1.750
Bernhardswald;Siedlung;Regensburg;2.320
Bernhaupten;Siedlung;Traunstein;840
Bernlohe;Siedlung;Roth;650
Bernried;Siedlung;Deggendorf;540
Bernried am Starnberger See;Siedlung;Weilheim-Schongau;1.980
Bertelsdorf;Siedlung;Coburg Stadt;680
Bertoldsheim;Siedlung;Neuburg-Schrobenhausen;690
Bertoldshofen;Siedlung;Ostallgäu;590
Betlinshausen;Siedlung;Neu-Ulm;1.030
Betzenstein;Siedlung;Bayreuth;800
Betzigau;Siedlung;Oberallgäu;1.720
Beuerberg;Siedlung;Bad Tölz-Wolfratshausen;980
Beuren;Siedlung;Neu-Ulm;620
Beyharting;Siedlung;Rosenheim;720
Biberach;Siedlung;Neu-Ulm;680
Biberachzell;Siedlung;Neu-Ulm;960
