Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Buchenbach;Siedlung;Breisgau-Hochschwarzwald;1.150
Büchenbronn;Siedlung;Pforzheim;4.980
Buchen (Odenwald);Siedlung;Neckar-Odenwald-Kreis;10.600
Buchhalde;Siedlung;Reutlingen;1.450
Buchheim;Siedlung;Tuttlingen;630
Buchheim - Hugstetten;Siedlung;Breisgau-Hochschwarzwald;5.160
Buchholz;Siedlung;Emmendingen;1.730
Büchig;Siedlung;Karlsruhe;1.490
Büchig;Siedlung;Karlsruhe;3.460
Buggingen;Siedlung;Breisgau-Hochschwarzwald;2.560
Bühl;Siedlung;Rastatt;16.300
Bühl;Siedlung;Ortenaukreis;960
Buhlbronn;Siedlung;Rems-Murr-Kreis;750
Bühlertal;Siedlung;Rastatt;7.830
Bühlertann;Siedlung;Schwäbisch Hall;2.370
Bühlerzell;Siedlung;Schwäbisch Hall;1.000
Bühl - Kilchberg;Siedlung;Tübingen;3.220
Buoch;Siedlung;Rems-Murr-Kreis;630
Burbach;Siedlung;Karlsruhe;1.140
Bürg;Siedlung;Rems-Murr-Kreis;560
Bürg;Siedlung;Heilbronn;730
Burg;Siedlung;Breisgau-Hochschwarzwald;1.420
Burgberg;Siedlung;Heidenheim;1.710
Bürgermoos;Siedlung;Bodenseekreis;980
Burgrieden;Siedlung;Biberach;2.460
Burgstetten;Siedlung;Rems-Murr-Kreis;1.700
Burkheim;Siedlung;Breisgau-Hochschwarzwald;930
Burladingen;Siedlung;Zollernalbkreis;5.380
Büsingen am Hochrhein;Siedlung;Konstanz;870
Büsnau;Siedlung;Stuttgart;2.560
Büßlingen;Siedlung;Konstanz;780
Buttenhausen;Siedlung;Reutlingen;570
Calmbach;Siedlung;Calw;3.870
Calw;Siedlung;Calw;12.500
Cleebronn;Siedlung;Heilbronn;2.590
Cleversulzbach;Siedlung;Heilbronn;800
Conweiler - Schwann;Siedlung;Enzkreis;5.160
Cottenweiler;Siedlung;Rems-Murr-Kreis;1.070
