Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Fahrenwalde;Gemeinde;Vorpommern-Greifswald;427;412;334;309
Faulenrost;Gemeinde;Mecklenburgische Seenplatte;791;801;701;646
Feldberger Seenlandschaft;Gemeinde;Mecklenburgische Seenplatte;5.144;5.206;4.542;4.452
Ferdinandshof;Gemeinde;Vorpommern-Greifswald;3.594;3.340;2.793;2.719
Fincken;Gemeinde;Mecklenburgische Seenplatte;667;641;538;505
Finkenthal;Gemeinde;Landkreis Rostock;376;361;277;280
Franzburg;Stadt;Vorpommern-Rügen;2.088;1.851;1.516;1.462
Friedland;Stadt;Mecklenburgische Seenplatte;9.452;8.806;7.061;6.779
Friedrichsruhe;Gemeinde;Ludwigslust-Parchim;1.065;1.043;897;875
Fuhlendorf;Gemeinde;Vorpommern-Rügen;916;973;813;797
Fünfseen;Gemeinde;Mecklenburgische Seenplatte;1.273;1.263;1.129;1.062
Gadebusch;Stadt;Nordwestmecklenburg;6.534;6.066;5.618;5.501
Gägelow;Gemeinde;Nordwestmecklenburg;1.871;2.675;2.551;2.521
Gager;Gemeinde;Vorpommern-Rügen;418;444;413;388
Galenbeck;Gemeinde;Mecklenburgische Seenplatte;1.731;1.622;1.194;1.150
Gallin;Gemeinde;Ludwigslust-Parchim;475;515;524;569
Gallin-Kuppentin;Gemeinde;Ludwigslust-Parchim;631;671;511;472
Gammelin;Gemeinde;Ludwigslust-Parchim;400;485;460;473
Ganzlin;Gemeinde;Ludwigslust-Parchim;1.882;1.843;1.471;1.450
Garz;Gemeinde;Vorpommern-Greifswald;228;213;241;252
Garz/Rügen;Stadt;Vorpommern-Rügen;2.779;2.729;2.294;2.213
Gehlsbach;Gemeinde;Ludwigslust-Parchim;655;624;524;517
Gelbensande;Gemeinde;Landkreis Rostock;2.273;1.958;1.616;1.618
Genzkow;Gemeinde;Mecklenburgische Seenplatte;196;172;138;136
Gielow;Gemeinde;Mecklenburgische Seenplatte;1.548;1.614;1.190;1.144
Gingst;Gemeinde;Vorpommern-Rügen;1.551;1.535;1.389;1.313
Gischow;Gemeinde;Ludwigslust-Parchim;328;295;265;252
Glasewitz;Gemeinde;Landkreis Rostock;405;449;456;436
Glasin;Gemeinde;Nordwestmecklenburg;910;921;822;777
Glasow;Gemeinde;Vorpommern-Greifswald;249;216;171;150
Glewitz;Gemeinde;Vorpommern-Rügen;860;727;552;531
Glowe;Gemeinde;Vorpommern-Rügen;926;912;987;975
Gneven;Gemeinde;Ludwigslust-Parchim;301;464;377;347
Gnevkow;Gemeinde;Mecklenburgische Seenplatte;423;422;382;366
Gnewitz;Gemeinde;Landkreis Rostock;236;226;216;190
Gnoien;Stadt;Landkreis Rostock;3.750;3.522;3.131;2.972
Godendorf;Gemeinde;Mecklenburgische Seenplatte;207;217;231;217
Göhlen;Gemeinde;Ludwigslust-Parchim;498;447;350;344
Göhren;Gemeinde;Vorpommern-Rügen;1.272;1.285;1.267;1.238
Göhren-Lebbin;Gemeinde;Mecklenburgische Seenplatte;530;595;601;612
Golchen;Gemeinde;Mecklenburgische Seenplatte;343;351;301;288
Goldberg;Stadt;Ludwigslust-Parchim;5.456;4.890;3.999;3.683
Gorlosen;Gemeinde;Ludwigslust-Parchim;596;571;510;468
Görmin;Gemeinde;Vorpommern-Greifswald;994;1.014;898;889
Gottesgabe;Gemeinde;Nordwestmecklenburg;751;865;783;751
Gotthun;Gemeinde;Mecklenburgische Seenplatte;276;301;310;323
Graal-Müritz;Gemeinde;Landkreis Rostock;3.696;3.960;4.206;4.154
Grabow;Stadt;Ludwigslust-Parchim;7.491;6.792;6.000;5.754
Grabow-Below;Gemeinde;Mecklenburgische Seenplatte;153;143;113;106
Grabowhöfe;Gemeinde;Mecklenburgische Seenplatte;1.546;1.615;1.423;1.361
Grambin;Gemeinde;Vorpommern-Greifswald;...;497;437;415
Grambow;Gemeinde;Nordwestmecklenburg;596;742;640;663
Grambow;Gemeinde;Vorpommern-Greifswald;1.125;1.057;896;875
Grammendorf;Gemeinde;Vorpommern-Rügen;828;729;562;529
Grammentin;Gemeinde;Mecklenburgische Seenplatte;319;292;229;213
Grammow;Gemeinde;Landkreis Rostock;237;200;175;167
Gransebieth;Gemeinde;Vorpommern-Rügen;692;718;600;563
Granzin;Gemeinde;Ludwigslust-Parchim;574;580;500;451
Grapzow;Gemeinde;Mecklenburgische Seenplatte;494;498;405;400
Grebs-Niendorf;Gemeinde;Ludwigslust-Parchim;812;751;583;566
Greifswald;Stadt;Vorpommern-Greifswald;60.772;53.533;55.447;57.286
Gremersdorf-Buchholz;Gemeinde;Vorpommern-Rügen;919;858;665;677
Gresse;Gemeinde;Ludwigslust-Parchim;635;681;657;670
Greven;Gemeinde;Ludwigslust-Parchim;834;883;701;699
Grevesmühlen;Stadt;Nordwestmecklenburg;10.976;11.051;10.700;10.496
Gribow;Gemeinde;Vorpommern-Greifswald;306;275;166;158
Grieben;Gemeinde;Nordwestmecklenburg;193;170;171;178
Grimmen;Stadt;Vorpommern-Rügen;13.307;11.948;10.090;10.019
Grischow;Gemeinde;Mecklenburgische Seenplatte;335;335;265;241
Groß Godems;Gemeinde;Ludwigslust-Parchim;380;375;401;406
Groß Kelle;Gemeinde;Mecklenburgische Seenplatte;138;138;123;114
Groß Kiesow;Gemeinde;Vorpommern-Greifswald;1.549;1.577;1.340;1.252
Groß Kordshagen;Gemeinde;Vorpommern-Rügen;444;431;357;354
Groß Krams;Gemeinde;Ludwigslust-Parchim;201;209;184;162
Groß Laasch;Gemeinde;Ludwigslust-Parchim;1.046;1.105;981;965
Groß Luckow;Gemeinde;Vorpommern-Greifswald;315;271;203;210
Groß Miltzow;Gemeinde;Mecklenburgische Seenplatte;1.572;1.408;1.131;1.034
Groß Mohrdorf;Gemeinde;Vorpommern-Rügen;743;934;776;743
Groß Molzahn;Gemeinde;Nordwestmecklenburg;290;342;363;351
Groß Nemerow;Gemeinde;Mecklenburgische Seenplatte;1.203;1.398;1.184;1.135
Groß Plasten;Gemeinde;Mecklenburgische Seenplatte;829;837;718;725
Groß Polzin;Gemeinde;Vorpommern-Greifswald;581;534;426;408
Groß Roge;Gemeinde;Landkreis Rostock;778;773;643;644
Groß Schwiesow;Gemeinde;Landkreis Rostock;273;364;327;319
Groß Siemz;Gemeinde;Nordwestmecklenburg;314;296;309;290
Groß Stieten;Gemeinde;Nordwestmecklenburg;1.150;762;543;614
Groß Teetzleben;Gemeinde;Mecklenburgische Seenplatte;811;839;690;674
Groß Wokern;Gemeinde;Landkreis Rostock;1.070;1.166;1.041;1.047
Groß Wüstenfelde;Gemeinde;Landkreis Rostock;1.043;1.073;891;828
Grünow;Gemeinde;Mecklenburgische Seenplatte;339;344;311;293
Gültz;Gemeinde;Mecklenburgische Seenplatte;810;759;573;547
Gülzow;Gemeinde;Mecklenburgische Seenplatte;490;491;454;448
Gülzow-Prüzen;Gemeinde;Landkreis Rostock;1.852;1.861;1.599;1.579
Gustow;Gemeinde;Vorpommern-Rügen;685;653;629;572
Güstrow;Stadt;Landkreis Rostock;34.794;31.987;28.885;28.845
Gutow;Gemeinde;Landkreis Rostock;801;1.129;960;981
Gützkow;Stadt;Vorpommern-Greifswald;3.668;3.507;3.135;3.093
Hagenow;Stadt;Ludwigslust-Parchim;12.579;12.304;11.421;11.697
Hammer a.d. Uecker;Gemeinde;Vorpommern-Greifswald;560;555;484;478
Hanshagen;Gemeinde;Vorpommern-Greifswald;792;923;913;901
Heinrichswalde;Gemeinde;Vorpommern-Greifswald;579;529;425;422
Heringsdorf;Gemeinde;Vorpommern-Greifswald;10.362;9.430;9.033;8.839
Hinrichshagen;Gemeinde;Vorpommern-Greifswald;402;818;830;840
Hintersee;Gemeinde;Vorpommern-Greifswald;412;410;337;332
Hohenbollentin;Gemeinde;Mecklenburgische Seenplatte;123;131;123;122
Hohen Demzin;Gemeinde;Landkreis Rostock;498;512;410;385
